0,0,0,32,16,2,1,1
0,0,16,16,16,2,2,1
0,16,16,16,16,2,2,1
0,32,0,16,8,2,2,1
0,48,0,16,8,2,2,1
0,32,8,32,16,2,1,1
0,32,24,32,8,2,1,1
0,0,32,8,32,2,1,1
0,8,32,16,32,2,1,1
0,24,32,8,32,2,1,1
0,32,32,16,32,2,1,1
0,48,32,16,16,2,2,1
0,48,48,4,16,2,3,1
0,52,48,8,16,2,3,1
0,60,48,4,16,2,3,1
0,64,0,32,16,2,1,1
0,64,16,8,16,2,2,1
0,72,16,16,16,2,2,1
0,88,16,8,8,2,3,1
0,88,24,8,8,2,3,1
0,96,0,16,8,2,2,1
0,96,8,4,16,2,3,1
0,100,8,8,16,2,3,1
0,108,8,4,16,2,3,1
0,96,24,16,8,2,2,1
0,112,0,8,16,2,3,1
0,120,0,8,16,2,3,1
0,112,16,16,16,2,2,1
0,64,32,16,16,2,2,1
0,64,48,16,16,2,2,1
0,80,32,16,16,2,2,1
0,80,48,16,16,2,2,1
0,96,32,4,32,2,2,1
0,100,32,8,32,2,2,1
0,108,32,4,32,2,2,1
0,112,32,16,32,2,1,1
0,0,64,16,8,2,3,1
0,0,72,16,8,2,3,1
0,0,80,16,16,2,2,1
0,16,64,16,32,2,1,1
0,32,64,8,32,2,1,1
0,40,64,16,8,2,3,1
0,40,72,16,8,2,3,1
0,40,80,16,16,2,2,1
0,56,64,8,32,2,1,1
0,0,96,32,32,2,0,1
0,32,96,16,32,2,1,1
0,48,96,16,16,2,2,1
0,48,112,16,16,2,2,1
0,64,64,16,16,2,2,1
0,80,64,8,16,2,3,1
0,88,64,8,16,2,3,1
0,64,80,32,16,2,1,1
0,96,64,8,32,2,1,1
0,104,64,16,32,2,1,1
0,120,64,8,32,2,1,1
0,64,96,32,8,2,1,1
0,64,104,8,16,2,2,1
0,72,104,16,16,2,2,1
0,88,104,8,16,2,2,1
0,64,120,32,8,2,1,1
0,96,96,8,32,2,2,1
0,104,96,8,32,2,2,1
0,112,96,16,32,2,1,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,4,0,1
0,0,0,0,0,4,0,1
0,0,0,0,0,4,0,1
0,0,0,0,0,4,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,0,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,2,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,0,1
0,0,0,32,16,2,1,1
0,0,16,16,16,2,2,1
0,16,16,16,16,2,2,1
0,32,0,16,8,2,2,1
0,48,0,16,8,2,2,1
0,32,8,32,16,2,1,1
0,32,24,32,8,2,1,1
0,0,32,8,32,2,1,1
0,8,32,16,32,2,1,1
0,24,32,8,32,2,1,1
0,32,32,16,32,2,1,1
0,48,32,16,16,2,2,1
0,48,48,4,16,2,3,1
0,52,48,8,16,2,3,1
0,60,48,4,16,2,3,1
0,64,0,32,16,2,1,1
0,64,16,8,16,2,2,1
0,72,16,16,16,2,2,1
0,88,16,8,8,2,3,1
0,88,24,8,8,2,3,1
0,96,0,16,8,2,2,1
0,96,8,4,16,2,3,1
0,100,8,8,16,2,3,1
0,108,8,4,16,2,3,1
0,96,24,16,8,2,2,1
0,112,0,8,16,2,3,1
0,120,0,8,16,2,3,1
0,112,16,16,16,2,2,1
0,64,32,16,16,2,2,1
0,64,48,16,16,2,2,1
0,80,32,16,16,2,2,1
0,80,48,16,16,2,2,1
